train_id,train_name,route_name,station_destination_name,departure_time_utc7,color,destination_time_utc7,station_departure_name,station_departure_id,station_destination_id
5087,COMMUTER LINE CIKARANG,CIKARANG-ANGKE,ANGKE,12:25:00,#0084D8,12:44:00,SUDIRMAN,SUD,AK
5725,COMMUTER LINE CIKARANG,MANGGARAI-ANGKE,ANGKE,12:31:00,#0084D8,12:52:00,SUDIRMAN,SUD,AK
856A,COMMUTER LINE BST,DURI-MANGGARAI,MANGGARAI,12:33:00,#0084D8,12:38:00,SUDIRMAN,SUD,MRI
4042A,COMMUTER LINE CIKARANG,KAMPUNGBANDAN-BEKASI,BEKASI,12:37:00,#0084D8,13:13:00,SUDIRMAN,SUD,BKS
D1/4044B,COMMUTER LINE CIKARANG,KAMPUNGBANDAN-MANGGARAI,MANGGARAI,12:49:00,#0084D8,12:56:00,SUDIRMAN,SUD,MRI
5547,COMMUTER LINE CIKARANG,BEKASI-KAMPUNGBANDAN,KAMPUNGBANDAN,12:50:00,#0084D8,13:21:00,SUDIRMAN,SUD,KPB
5724,COMMUTER LINE CIKARANG,ANGKE-MANGGARAI,MANGGARAI,12:57:00,#0084D8,13:03:00,SUDIRMAN,SUD,MRI
5093A,COMMUTER LINE CIKARANG,CIKARANG-KAMPUNGBANDAN,KAMPUNGBANDAN,12:58:00,#0084D8,13:28:00,SUDIRMAN,SUD,KPB
860A,COMMUTER LINE BST,DURI-MANGGARAI,MANGGARAI,13:03:00,#0084D8,13:08:00,SUDIRMAN,SUD,MRI
4046,COMMUTER LINE CIKARANG,KAMPUNGBANDAN-CIKARANG,CIKARANG,13:06:00,#0084D8,14:02:00,SUDIRMAN,SUD,CKR
